iteracion,pedidos_asignados,pedidos_no_asignados,calidad,distancia_total,consumo_total,camiones_usados,camiones_disponibles,tiempo_ms
Iteración 0 | Tiempo: 0.14 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 1 | Tiempo: 0.44 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 2 | Tiempo: 0.68 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 3 | Tiempo: 0.91 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 4 | Tiempo: 1.19 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 5 | Tiempo: 1.39 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 6 | Tiempo: 1.63 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 7 | Tiempo: 1.82 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 8 | Tiempo: 2.17 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 9 | Tiempo: 2.47 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 10 | Tiempo: 2.69 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 11 | Tiempo: 2.94 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 12 | Tiempo: 3.18 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 13 | Tiempo: 3.45 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 14 | Tiempo: 3.71 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 15 | Tiempo: 3.96 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 16 | Tiempo: 4.25 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 17 | Tiempo: 4.53 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 18 | Tiempo: 4.71 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 19 | Tiempo: 4.94 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 20 | Tiempo: 5.14 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 21 | Tiempo: 5.41 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 22 | Tiempo: 5.64 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 23 | Tiempo: 5.81 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 24 | Tiempo: 6.15 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 25 | Tiempo: 6.32 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 26 | Tiempo: 6.57 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 27 | Tiempo: 6.99 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 28 | Tiempo: 7.50 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 29 | Tiempo: 8.18 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 30 | Tiempo: 8.46 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 31 | Tiempo: 8.65 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 32 | Tiempo: 8.87 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 33 | Tiempo: 9.03 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 34 | Tiempo: 9.22 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 35 | Tiempo: 9.54 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 36 | Tiempo: 9.72 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 37 | Tiempo: 9.93 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 38 | Tiempo: 10.08 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 39 | Tiempo: 10.28 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 40 | Tiempo: 10.48 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 41 | Tiempo: 10.69 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 42 | Tiempo: 10.89 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 43 | Tiempo: 11.11 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 44 | Tiempo: 11.34 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 45 | Tiempo: 11.57 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 46 | Tiempo: 11.76 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 47 | Tiempo: 11.95 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 48 | Tiempo: 12.18 seg | Camiones: 0/20 | Pedidos: 0/0
Iteración 49 | Tiempo: 12.40 seg | Camiones: 0/20 | Pedidos: 0/0
